Designation,Name,Location,Level_and_involvement,Total_applicants,Industry_and_Employee_count,LinkedIn_Followers
Technology Analyst - Mainframe (3-5 years) - Gurgaon,Infosys,"Gurugram, Haryana, India",Full-time · Mid-Senior level,14 applicants,"10,001+ employees · IT Services and IT Consulting","6,456,902 followers"
Lead I - Software Engineering,UST,"Thiruvananthapuram, Kerala, India",Full-time · Mid-Senior level,5 applicants,"10,001+ employees · IT Services and IT Consulting",
Senior Data Engineer,Uplers,"New Delhi, Delhi, India",Full-time · Mid-Senior level,16 applicants,"1,001-5,000 employees · IT Services and IT Consulting","668,152 followers"
Assistant Manager,Genpact,"Gurugram, Haryana, India",Full-time · Mid-Senior level,,"10,001+ employees · IT Services and IT Consulting","2,258,051 followers"
Associate-Record To Report,Accenture in India,"Bengaluru, Karnataka, India",Full-time · Entry level,22 applicants,"10,001+ employees · IT Services and IT Consulting",
Associate-Trans Processing,Sutherland,"Hyderabad, Telangana, India",Full-time · Entry level,5 applicants,"10,001+ employees · IT Services and IT Consulting",
Quality Analyst,Uplers,"Kerala, India",Full-time · Associate,,"1,001-5,000 employees · IT Services and IT Consulting","668,154 followers"
Technology Analyst - Oracle PL/SQL (3-5 years) - Mohali,Infosys,"Mohali district, Punjab, India",Full-time · Mid-Senior level,7 applicants,"10,001+ employees · IT Services and IT Consulting",
Informatica PowerCenter Application Developer,Accenture in India,"Indore, Madhya Pradesh, India",Full-time · Mid-Senior level,4 applicants,"10,001+ employees · IT Services and IT Consulting",
Technology Lead -DevOps,Infosys,"Chennai, Tamil Nadu, India",Full-time · Mid-Senior level,52 applicants,"10,001+ employees · IT Services and IT Consulting","6,456,910 followers"
Technology Analyst,Infosys,"Mohali district, Punjab, India",Full-time · Associate,88 applicants,"10,001+ employees · IT Services and IT Consulting","6,456,911 followers"
Technology Analyst - Oracle PL/SQL (3-5 years) - Bangalore,Infosys,"Bengaluru, Karnataka, India",Full-time · Mid-Senior level,148 applicants,"10,001+ employees · IT Services and IT Consulting","6,456,911 followers"
Project Lead,Wipro,"Bengaluru, Karnataka, India",Full-time · Mid-Senior level,,"10,001+ employees · IT Services and IT Consulting",
Principal Consultant-Technology & Implementation,Wipro,"Hyderabad, Telangana, India",Full-time · Mid-Senior level,3 applicants,"10,001+ employees · IT Services and IT Consulting",
Shift Engineer,JLL,"Hyderabad, Telangana, India",Full-time · Entry level,32 applicants,"10,001+ employees · Real Estate",
